2023-12-09 15:21:24.565 [info] Extension host with pid 89267 started
2023-12-09 15:21:24.565 [info] Skipping acquiring lock for /home/martin/.config/Code/User/workspaceStorage/1511603eb765f43b407fc2d65447fdef.
2023-12-09 15:21:24.617 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-12-09 15:21:24.620 [info] ExtensionService#_doActivateExtension arrterian.nix-env-selector, startup: true, activationEvent: '*'
2023-12-09 15:21:24.651 [info] ExtensionService#_doActivateExtension mkhl.direnv, startup: true, activationEvent: '*'
2023-12-09 15:21:24.680 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-12-09 15:21:24.705 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-12-09 15:21:24.752 [info] Eager extensions activated
2023-12-09 15:21:24.769 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:21:24.770 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:21:24.779 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:21:24.931 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2023-12-09 15:21:28.040 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-12-09 18:34:13.769 [info] ExtensionService#_doActivateExtension jnoortheen.nix-ide, startup: false, activationEvent: 'onLanguage:nix'
2023-12-09 18:34:40.367 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
