
2023/06/22 (22:14:00) | ===> btop++ v.1.2.13
2023/06/22 (22:14:00) | ERROR: Stall in Runner thread, restarting!

2023/06/27 (22:20:38) | ===> btop++ v.1.2.13
2023/06/27 (22:20:38) | ERROR: Stall in Runner thread, restarting!

2023/07/05 (22:04:36) | ===> btop++ v.1.2.13
2023/07/05 (22:04:36) | ERROR: Stall in Runner thread, restarting!

2023/07/06 (17:59:24) | ===> btop++ v.1.2.13
2023/07/06 (17:59:24) | ERROR: Invalid hex value:  Main text color

2023/07/06 (21:00:35) | ===> btop++ v.1.2.13
2023/07/06 (21:00:35) | ERROR: Invalid hex value:  Main text color

2023/07/06 (21:02:17) | ===> btop++ v.1.2.13
2023/07/06 (21:02:17) | ERROR: Invalid hex value:  Main text color
